functcion: C(t) = exp(-a*t^b)
fits: 100 points
**********************************************************************************************
range, a, a_err, b, b_err
all, 0.14725804288107228, 0.0014234555653239711, 0.6110505074630965, 0.005307793410842151
0-3 ang, 0.11509217612136709, 0.0010880317493650435, 0.3682784802394236, 0.005301788543279074
3-6 ang, 0.1528249374245148, 0.002312992823825836, 0.6308641954200847, 0.008318715833536024
6-9 ang, 0.1370108092311831, 0.0036147004823163446, 0.7391172637120333, 0.014374856922958198
9-15 ang, 0.173251913690291, 0.0019237563908571368, 0.658543998698258, 0.006146227197960173
**********************************************************************************************
