C(t) = exp(-(t/a)^b)
range, a, a_err, b, b_err
all, 4.343713977035456, 0.007505063462531751, 0.6398406370480527, 0.001678888886707745
0-3 ang, 32.42197818560472, 0.2462631914055355, 0.4456048192410567, 0.001766808951640075
3-6 ang, 4.067721042108745, 0.011623575446604252, 0.699304661087888, 0.0030718448221047443
6-9 ang, 2.968756024645647, 0.011157928916788873, 0.7370746920088446, 0.0037994092982035
9-15 ang, 2.59686803576112, 0.009136671192000201, 0.7718995214228981, 0.0035979483620757553
